0.99623,0.68641,0.91131,1.4526,1.5313,1.6454,1.4453,1.401,0.90439,0.32318,-0.89131,-1.4331,-2.3685,-3.2506,-3.4372,-3.8136,-3.3369,-3.9672,-4.7014,-4.6788,-5.0286,-5.1032,-3.9633,-2.2295,-0.97581,0.26016,2.0166,3.7584,4.7618,6.0444,7.7799,8.2046,8.7286,8.1526,7.8342
0.3838,0.27421,0.83634,1.108,1.2207,1.6207,2.0238,2.129,2.2957,1.3016,0.25454,-0.54698,-0.92284,-1.8793,-2.699,-2.9775,-3.2785,-3.7241,-4.3127,-4.8272,-5.1938,-5.6848,-5.528,-4.9155,-3.1561,-1.804,-0.047661,1.3987,2.9986,4.5119,6.1079,7.0958,7.9952,7.3204,6.3419
-0.16771,-0.37224,0.11042,0.58373,1.0844,1.76,2.3618,2.4959,2.8064,2.3695,1.1953,0.66058,0.18565,-0.55721,-1.4462,-2.2146,-2.6634,-2.862,-3.6474,-4.7547,-5.2304,-5.8068,-6.8468,-7.0233,-5.8091,-4.0511,-2.6264,-1.09,0.49575,2.0897,3.788,5.1517,6.2365,6.384,5.9383
-0.64277,-0.79804,-0.30043,0.15709,0.96712,1.8053,2.521,2.8677,3.0078,3.2579,2.5535,1.8984,1.4904,0.7775,-0.066321,-0.97738,-1.3231,-1.8928,-2.5929,-3.5592,-4.9699,-5.7965,-6.9625,-7.9104,-6.7516,-5.99,-4.6953,-3.6244,-2.0386,-0.44311,1.2507,2.8084,4.5975,4.7495,4.6447
-1.3131,-1.1256,-0.77963,-0.27109,0.63362,1.5471,2.429,2.9533,2.9686,3.3181,3.1426,2.6159,2.2982,1.9349,1.2237,0.40858,-0.17531,-0.80595,-1.5127,-2.4114,-4.0345,-5.2748,-6.3638,-7.4944,-8.1418,-6.7488,-5.7113,-5.497,-4.5658,-2.9804,-1.4444,0.47854,2.0503,2.5672,2.8987
-1.7627,-1.307,-1.1596,-0.44864,0.24715,1.1116,1.9635,2.6598,2.7661,3.2914,3.1203,3.2065,2.9233,2.7392,2.3434,1.5863,1.2442,0.4411,-0.12613,-1.4597,-2.6272,-4.2909,-5.6868,-6.8667,-7.7156,-7.6947,-6.7495,-6.5161,-5.8504,-5.443,-3.97,-2.4554,-0.24536,0.48567,1.0799
-2.243,-1.3926,-1.3976,-1.0276,-0.23254,0.65529,1.4706,2.1922,2.6331,3.1591,3.5259,3.561,3.6336,3.5125,3.002,2.5744,2.0736,1.5366,1.29,0.36859,-0.91177,-2.6855,-4.9009,-5.801,-6.6863,-7.3443,-7.0695,-6.8228,-6.9253,-6.6184,-6.0944,-4.8234,-3.6851,-1.8062,-0.9837
-1.9855,-1.3798,-1.5382,-1.255,-0.65607,-0.16676,0.52869,1.2095,1.9624,2.6911,3.7288,3.8826,4.004,3.8498,3.8353,3.4191,2.9609,2.5598,2.4211,2.067,1.2022,-0.46174,-2.8299,-4.3114,-5.5907,-6.626,-7.1217,-7.0082,-7.1252,-7.4118,-7.2479,-6.8241,-6.0346,-4.7282,-2.6717
-1.8995,-1.4023,-1.4465,-1.6161,-1.0543,-0.72077,-0.38362,0.00051921,0.93234,1.852,3.0568,3.5792,3.9098,4.4227,4.1429,3.685,3.5874,3.3942,3.5486,3.5226,2.808,1.9381,-0.12603,-1.6853,-3.6978,-5.3536,-6.5135,-7.1735,-7.3607,-7.8503,-7.6864,-7.5659,-7.2067,-5.8382,-4.4169
-1.6076,-1.1171,-1.4582,-1.464,-1.336,-1.0768,-1.2107,-1.1198,-0.29909,0.70529,1.7016,2.647,3.5839,3.9581,4.179,3.8171,3.6555,3.8196,4.1175,4.2166,4.4665,3.8468,2.2882,0.43716,-1.0426,-3.0916,-4.9183,-5.8821,-6.7515,-7.2279,-7.5507,-7.6758,-8.4146,-7.1922,-5.8332
-1.2045,-0.72158,-1.1389,-1.3807,-1.3788,-1.5568,-1.8824,-1.8922,-1.2419,-0.080116,0.78019,1.6004,2.6187,3.2789,3.5468,3.5748,3.4014,3.9388,4.2991,4.4365,5.2561,5.2457,4.6269,3.394,1.522,-0.6656,-2.4624,-3.574,-5.0701,-6.2158,-7.3958,-7.4262,-7.8678,-7.5707,-6.7443
-0.44585,-0.13481,-0.56936,-0.98413,-1.4125,-1.8402,-2.1416,-2.5627,-1.999,-1.1383,-0.18294,0.6724,1.2241,2.5457,2.5897,2.8068,2.9136,3.4841,4.2413,5.2083,5.4044,6.0295,6.1981,5.5344,4.3239,2.1983,0.51905,-0.99572,-2.9913,-4.1779,-6.0533,-7.1803,-7.4685,-6.9543,-6.8686
0.27441,0.22005,-0.12049,-0.67158,-1.3088,-1.922,-2.3615,-2.6307,-2.6109,-1.8909,-1.1438,-0.35178,-0.081861,0.84673,1.3605,1.6601,2.0892,2.6637,3.4995,4.7868,5.584,6.0242,6.7731,6.9243,6.2755,4.6414,2.9939,1.4862,-0.1792,-1.7562,-3.4773,-5.1432,-6.8354,-6.764,-6.125
1.1405,0.51847,0.2614,-0.36048,-0.97605,-1.9264,-2.4148,-2.813,-2.9095,-2.5664,-2.1267,-1.4972,-1.2156,-0.64295,-0.11905,0.58824,1.0478,1.652,2.6402,3.7775,4.7935,5.5574,6.6852,7.3567,7.2289,6.0387,5.0659,3.885,1.9729,0.56289,-1.4503,-2.8863,-4.5437,-5.3203,-5.6181
1.6595,1.0671,0.56388,0.088056,-0.67231,-1.6528,-2.2231,-2.7013,-3.0332,-3.2886,-2.6956,-2.4635,-2.2988,-1.9459,-1.6806,-0.77971,-0.029886,0.62154,1.3821,2.3994,3.1444,4.7371,6.7713,7.3162,8.0277,7.3241,6.2997,5.4822,4.4019,2.7537,1.1965,-0.14049,-1.8137,-2.9292,-3.4057
2.2478,1.1665,1.0412,0.62678,-0.25711,-1.277,-1.8843,-2.3078,-2.7352,-3.1553,-2.9869,-2.9689,-3.1105,-2.9722,-2.8726,-1.8303,-1.0183,-0.53693,0.069517,0.78801,1.782,3.5473,5.6939,6.9204,7.6158,7.4733,7.0115,6.5801,6.1811,5.1574,3.8133,2.6628,0.9562,-0.51063,-1.8817
2.2723,1.2894,1.3349,0.90246,0.16995,-0.63596,-1.3921,-1.6856,-2.3028,-2.807,-3.325,-3.5737,-3.2863,-3.5347,-3.1965,-2.4833,-1.7432,-1.6052,-1.3631,-0.84945,0.39092,1.7343,4.1244,5.4761,7.1275,7.4863,6.9407,6.633,7.0461,6.4858,6.0293,4.6515,3.5547,1.9837,0.18189
2.1329,1.2933,1.472,1.1103,0.63054,0.056935,-0.58878,-1.1007,-1.7164,-2.4393,-3.0168,-3.3152,-3.6945,-3.8355,-3.8212,-3.2165,-2.5979,-2.5547,-2.4559,-1.9312,-1.3808,0.20074,2.246,3.7398,5.5404,6.373,6.4769,6.7089,6.3879,6.5439,6.2815,6.2683,5.455,4.4161,2.7191
1.8686,1.1119,1.6117,1.3866,1.1196,0.63152,-0.011956,-0.38224,-1.0312,-1.8944,-2.5625,-2.9439,-3.6293,-4.2009,-3.7767,-3.3288,-3.0223,-3.2186,-3.3891,-3.2427,-2.4383,-1.4729,-0.063727,1.7343,3.5701,4.8278,5.4902,5.9811,6.3148,7.2159,8.1249,7.6417,6.4872,5.7254,4.474
1.0572,0.91136,1.6724,1.7622,1.5063,1.2057,0.48837,0.10381,-0.22801,-0.86495,-2.1425,-2.9559,-3.5536,-4.0477,-4.0002,-3.7378,-3.5689,-3.9439,-4.5897,-4.0364,-3.685,-2.9587,-1.844,-0.34415,1.3421,3.6521,4.2604,5.0576,5.8241,7.0767,8.1167,8.9204,8.7272,7.8664,5.9398
